Time,EDA,Heart Rate,Temperature
BEGIN debug FOR 10 SECONDS,,,
1730338848981720,25353,14740,4276
1730338848985089,25567,14737,4276
1730338849015001,26070,14733,4276
1730338849048433,26847,14730,4274
1730338849055841,27551,14727,4276
1730338849081763,27855,14724,4275
1730338849088640,27718,14721,4275
1730338849115092,27273,14717,4274
1730338849148248,26666,14715,4274
1730338849151806,26094,14711,4275
1730338849181585,25659,14707,4275
1730338849215146,25349,14705,4274
1730338849224083,25180,14702,4276
1730338849248498,25102,14698,4275
1730338849281618,25127,14695,4276
1730338849287558,25227,14692,4273
1730338849315179,25364,14690,4276
1730338849348396,25505,14687,4276
1730338849352003,25618,14686,4276
1730338849381631,25679,14684,4276
1730338849414899,25668,14682,4276
1730338849417754,25602,14681,4277
1730338849448261,25519,14681,4277
1730338849481519,25433,14682,4277
1730338849484280,25351,14681,4276
1730338849514932,25285,14682,4276
1730338849548119,25233,14684,4276
1730338849551997,25225,14686,4277
1730338849581548,25231,14688,4276
1730338849614783,25268,14691,4276
1730338849618585,25286,14696,4276
1730338849648226,25311,14703,4276
1730338849681479,25337,14707,4275
1730338849685171,25360,14714,4277
1730338849714795,25362,14722,4276
1730338849747961,25443,14728,4276
1730338849751104,25785,14739,4276
1730338849781456,26452,14748,4274
1730338849785453,27249,14760,4275
1730338849814821,27794,14770,4276
1730338849848142,27893,14783,4277
1730338849852209,27603,14796,4275
1730338849881508,27039,14809,4276
1730338849914648,26424,14825,4277
1730338849918882,25892,14840,4276
1730338849948007,25510,14856,4276
1730338849981506,25269,14872,4274
1730338849985650,25164,14889,4275
1730338850014819,25123,14907,4276
1730338850047957,25164,14925,4274
1730338850051141,25304,14944,4275
1730338850081600,25460,14960,4277
1730338850114632,25611,14982,4276
1730338850120075,25710,15000,4274
1730338850147984,25737,15019,4276
1730338850181417,25700,15039,4276
1730338850184090,25602,15058,4277
1730338850214668,25494,15077,4275
1730338850248123,25395,15100,4276
1730338850251733,25305,15117,4277
1730338850281292,25254,15136,4275
1730338850315008,25221,15156,4278
1730338850323374,25227,15176,4277
1730338850347888,25230,15194,4277
1730338850381156,25274,15213,4276
1730338850383590,25301,15233,4277
1730338850414923,25328,15250,4275
1730338850447855,25337,15270,4275
1730338850457346,25392,15286,4276
1730338850481490,25690,15304,4274
1730338850484852,26300,15322,4276
BEGIN baseline FOR 180 SECONDS,,,
1730338850514527,27057,15338,4275
1730338850547888,27611,15356,4273
1730338850550565,27776,15372,4277
1730338850581265,27525,15388,4276
1730338850614507,27008,15404,4274
1730338850618011,26403,15421,4278
1730338850648081,25865,15435,4276
1730338850681046,25484,15451,4276
1730338850683533,25245,15465,4277
1730338850714461,25120,15480,4277
1730338850747793,25096,15495,4276
1730338850750313,25128,15510,4277
1730338850781169,25246,15525,4277
1730338850814477,25390,15538,4276
1730338850817363,25540,15553,4275
1730338850847749,25628,15568,4277
1730338850881135,25683,15585,4275
1730338850884560,25672,15600,4277
1730338850914453,25599,15616,4277
1730338850947640,25510,15632,4275
1730338850950486,25403,15649,4274
1730338850981088,25319,15666,4275
1730338851014406,25253,15683,4275
1730338851018902,25207,15701,4276
1730338851047816,25203,15719,4276
1730338851080969,25200,15736,4274
1730338851084198,25215,15753,4276
1730338851114304,25245,15773,4275
1730338851147646,25266,15791,4275
1730338851150465,25285,15808,4277
1730338851181248,25296,15828,4277
1730338851184416,25304,15847,4277
1730338851214315,25313,15864,4276
1730338851247863,25302,15882,4276
1730338851256399,25313,15900,4277
1730338851281197,25281,15917,4278
1730338851314313,25273,15935,4276
1730338851316830,25391,15952,4275
1730338851347681,25782,15968,4276
1730338851380879,26547,15985,4277
1730338851383868,27464,16000,4277
1730338851414349,28140,16017,4276
1730338851447559,28303,16032,4274
1730338851452415,27994,16046,4274
1730338851481069,27366,16060,4276
1730338851514555,26647,16074,4276
1730338851519613,26000,16086,4275
1730338851547484,25544,16099,4276
1730338851581134,25257,16109,4275
1730338851584135,25120,16119,4275
1730338851614096,25082,16131,4276
1730338851647467,25134,16139,4274
1730338851650662,25234,16150,4275
1730338851680866,25371,16157,4277
1730338851714116,25508,16166,4277
1730338851718169,25601,16174,4276
1730338851747746,25640,16181,4277
1730338851781120,25628,16187,4277
1730338851784678,25573,16195,4276
1730338851814096,25492,16201,4277
1730338851847420,25385,16207,4277
1730338851850859,25293,16213,4276
