Time,EDA,Heart Rate,Temperature
BEGIN debug FOR 10 SECONDS,,,
1730338864726720,26709,32475,4515
1730338864748469,26632,32474,4496
1730338864770419,26646,32474,4497
1730338864792194,26620,32473,4497
1730338864813999,26538,32475,4496
1730338864835945,26418,32472,4514
1730338864857877,26374,32471,4478
1730338864879600,26304,32474,4495
1730338864901569,26445,32476,4478
1730338864923326,26492,32473,4478
1730338864945237,26616,32472,4496
1730338864967048,26664,32474,4496
1730338864988904,26725,32472,4494
1730338865010728,26830,32472,4477
1730338865032671,26880,32474,4496
1730338865054485,26952,32473,4496
1730338865076305,26930,32476,4496
1730338865098172,26846,32473,4479
1730338865120029,26699,32475,4496
1730338865141993,26596,32474,4515
1730338865163745,26545,32473,4495
1730338865185493,26594,32475,4496
1730338865207485,26657,32474,4515
1730338865229280,26613,32474,4495
1730338865251107,26567,32475,4496
1730338865272923,26493,32475,4496
1730338865294935,26413,32474,4513
1730338865316671,26355,32473,4496
1730338865338777,26375,32473,4514
1730338865360499,26447,32475,4495
1730338865382252,26540,32474,4496
1730338865404169,26625,32475,4514
1730338865426018,26757,32475,4479
1730338865447790,26877,32474,4515
1730338865469769,26940,32469,4496
1730338865491606,26942,32474,4478
1730338865513296,26803,32473,4497
1730338865535248,26704,32470,4514
1730338865557166,26615,32472,4514
1730338865578953,26529,32472,4511
1730338865600852,26424,32472,4496
1730338865622763,26331,32470,4496
1730338865644508,26322,32473,4478
1730338865666457,26375,32472,4495
1730338865688272,26401,32473,4514
1730338865710148,26453,32473,4479
1730338865731947,26531,32473,4495
1730338865753800,26592,32473,4496
1730338865775651,26625,32474,4496
1730338865797550,26691,32474,4495
1730338865819296,26696,32473,4494
1730338865841228,26701,32475,4513
1730338865863086,26774,32472,4514
1730338865884868,26800,32474,4477
1730338865906729,26832,32475,4478
1730338865928646,26893,32474,4496
1730338865950484,26893,32473,4514
1730338865972390,26842,32474,4496
1730338865994171,26820,32475,4513
1730338866016105,26691,32474,4495
1730338866037943,26537,32474,4479
1730338866059713,26532,32473,4496
1730338866081489,26548,32471,4497
1730338866103489,26536,32473,4515
1730338866125496,26514,32473,4478
1730338866147081,26454,32472,4496
1730338866169009,26437,32473,4478
1730338866190819,26392,32473,4496
1730338866212630,26421,32473,4496
1730338866234553,26518,32472,4477
1730338866256382,26567,32474,4495
1730338866278165,26597,32472,4496
1730338866300077,26669,32476,4496
1730338866321961,26777,32474,4496
1730338866343772,26778,32473,4494
1730338866365701,26779,32476,4496
1730338866387423,26865,32475,4497
1730338866409347,26857,32473,4496
1730338866431209,26799,32475,4478
1730338866453103,26743,32475,4496
1730338866474977,26688,32474,4478
1730338866496733,26613,32472,4514
1730338866518590,26575,32473,4495
1730338866540384,26534,32474,4516
1730338866562387,26581,32474,4495
1730338866584129,26561,32474,4514
1730338866606069,26583,32474,4514
